global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
909,give_out,10,11,HSB,a cell ( or other &lsquo; system &rsquo; ) to give out water to another cell or solution . Since W.P. is sometimes,a_AT0 cell_NN1 (_PUL or_CJC other_AJ0 &lsquo;_PUQ system_NN1 &rsquo;_PUQ )_PUR to_TO0 give_VVI out_AVP water_NN1 to_PRP another_DT0 cell_NN1 or_CJC solution_NN1 ._PUN Since_CJS W.P._NP0 is_VBZ sometimes_AV0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=10,86296077,86296079,give_out_NN1,3
914,give_out,15,2,ACX,"wild species and are becoming increasingly popular . They may give out scents of citrus , mint , pine or rose , and","wild_AJ0 species_NN0 and_CJC are_VBB becoming_VVG increasingly_AV0 popular_AJ0 ._PUN They_PNP may_VM0 give_VVI out_AVP scents_NN2 of_PRF citrus_NN1-AJ0 ,_PUN mint_NN1-AJ0 ,_PUN pine_NN1-VVB or_CJC rose_VVD ,_PUN and_CJC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9uy&batch=1,7655658,7655660,give_out_NN2,3
950,give_out,51,2,CER,"pressures and temperatures will be needed to make fusion reactors give out more than they use . Indeed , even at the pressures","pressures_NN2 and_CJC temperatures_NN2 will_VM0 be_VBI needed_VVN to_TO0 make_VVI fusion_NN1 reactors_NN2 give_VVB out_AVP more_DT0 than_CJS they_PNP use_VVB ._PUN Indeed_AV0 ,_PUN even_AV0 at_PRP the_AT0 pressures_NN2",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vg&batch=1,31887580,31887582,give_out_DT0,3
979,give_out,80,20,J1A,"with dots while the basses , in bar 383 , give out the fourth of the five themes , with strokes in pure","with_PRP dots_NN2 while_CJS the_AT0 basses_NN2 ,_PUN in_PRP bar_NN1 383_CRD ,_PUN give_VVB out_AVP the_AT0 fourth_ORD of_PRF the_AT0 five_CRD themes_NN2 ,_PUN with_PRP strokes_NN2 in_PRP pure_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=19,92549076,92549078,give_out_AT0,3
984,give_out,85,25,C92,"affect the amplifier , causing it to oscillate ( i.e. give out a signal , even when no sound is directed at the","affect_VVI the_AT0 amplifier_NN1 ,_PUN causing_VVG it_PNP to_TO0 oscillate_VVI (_PUL i.e._AV0 give_VVB out_AVP a_AT0 signal_NN1 ,_PUN even_AV0 when_CJS no_AT0 sound_NN1 is_VBZ directed_VVN at_PRP the_AT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=24,24235660,24235662,give_out_AT0,3
1008,give_away,16,17,C90,of those who in the next few decades were to give away the empire in the belief that they were acting to preserve,of_PRF those_DT0 who_PNQ in_PRP the_AT0 next_ORD few_DT0 decades_NN2 were_VBD to_TO0 give_VVI away_AV0 the_AT0 empire_NN1 in_PRP the_AT0 belief_NN1 that_CJT they_PNP were_VBD acting_VVG to_TO0 preserve_VVI,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sl&batch=16,24152720,24152722,give_away_AT0,3
1011,give_away,19,20,K1J,"Leroy Rosenior chopped down Steve White in the box to give away a penalty , which Paul Bodin slammed home for his 8th","Leroy_NP0 Rosenior_NP0 chopped_VVD down_AVP-PRP Steve_NP0 White_NP0 in_PRP the_AT0 box_NN1 to_TO0 give_VVI away_AV0 a_AT0 penalty_NN1 ,_PUN which_DTQ Paul_NP0 Bodin_NP0 slammed_VVD home_AV0 for_PRP his_DPS 8th_ORD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sl&batch=19,98769135,98769137,give_away_AT0,3
1039,give_away,47,13,FAG,"late eighteenth century or the early nineteenth , and often give away their date in their names . The famous Botany Bay cover","late_AJ0 eighteenth_ORD century_NN1 or_CJC the_AT0 early_AJ0 nineteenth_ORD ,_PUN and_CJC often_AV0 give_VVB away_AV0 their_DPS date_NN1 in_PRP their_DPS names_NN2 ._PUN The_AT0 famous_AJ0 Botany_NN1 Bay_NN1 cover_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sk&batch=12,52279309,52279311,give_away_DPS,3
1041,give_away,49,15,FUB,"great joy , and the sun himself came down to give away his little cousin to her bridegroom . THE GOLDEN-FLEECED RAM AND","great_AJ0 joy_NN1 ,_PUN and_CJC the_AT0 sun_NN1 himself_PNX came_VVD down_AVP to_TO0 give_VVI away_AV0 his_DPS little_AJ0 cousin_NN1 to_PRP her_DPS bridegroom_NN1 ._PUN THE_AT0 GOLDEN-FLEECED_AJ0 RAM_NN1 AND_CJC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sk&batch=14,59899126,59899128,give_away_DPS,3
1053,give_away,61,3,B2W,"and that the College 's general policy was not to give away information helpful to others , the report does have some interest","and_CJC that_CJT the_AT0 College_NN1 's_POS general_AJ0 policy_NN1 was_VBD not_XX0 to_TO0 give_VVI away_AV0 information_NN1 helpful_AJ0 to_PRP others_NN2 ,_PUN the_AT0 report_NN1 does_VDZ have_VHI some_DT0 interest_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sn&batch=2,18735005,18735007,give_away_NN1,3
5,agree_on,5,6,K6Y,"or when you go back or , or even perhaps agree on the amount . I think if you 've got somebody who 's","or_CJC when_CJS you_PNP go_VVB back_AVP or_CJC ,_PUN or_CJC even_AV0 perhaps_AV0 agree_VVB on_PRP-AVP the_AT0 amount_NN1 ._PUN I_PNP think_VVB if_CJS you_PNP 've_VHB got_VVN somebody_PNI who_PNQ 's_VHZ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=5,103829169,103829172,agree_on_AT0,4
32,agree_on,32,33,FR9,". Optimism is my middle name because , unable to agree on a name , my parents stuck a pin in a dictionary .","._PUN Optimism_NN1 is_VBZ my_DPS middle_AJ0-NN1 name_NN1 because_CJS ,_PUN unable_AJ0 to_TO0 agree_VVI on_PRP-AVP a_AT0 name_NN1 ,_PUN my_DPS parents_NN2 stuck_VVD a_AT0 pin_NN1 in_PRP a_AT0 dictionary_NN1 ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=32,57262735,57262738,agree_on_AT0,4
33,agree_on,33,34,AP0,pulled a switchblade on his director because they could n't agree on the way to do a scene . I imitated his style and,pulled_VVD a_AT0 switchblade_NN1 on_PRP his_DPS director_NN1 because_CJS they_PNP could_VM0 n't_XX0 agree_VVI on_PRP the_AT0 way_NN1 to_TO0 do_VDI a_AT0 scene_NN1 ._PUN I_PNP imitated_VVD his_DPS style_NN1 and_CJC,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=33,12711943,12711946,agree_on_AT0,4
46,agree_on,46,47,HYA,down so that the legs all face out . They agree on a system of foraging and divide themselves into the groups they think,down_AVP so_AV0 that_CJT the_AT0 legs_NN2 all_DT0 face_VVB out_AVP ._PUN They_PNP agree_VVB on_PRP-AVP a_AT0 system_NN1 of_PRF foraging_VVG and_CJC divide_VVB themselves_PNX into_PRP the_AT0 groups_NN2 they_PNP think_VVB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=46,91484112,91484115,agree_on_AT0,4
53,agree_on,53,54,HYA,": 1 . Standing behind &mdash; or Watch your backs Agree on a signal to indicate "" Freeze "" . "" Everybody move around",":_PUN 1_CRD ._PUN Standing_VVG behind_AV0 &mdash;_PUN or_CJC Watch_VVB your_DPS backs_NN2 Agree_VVB on_PRP-AVP a_AT0 signal_NN1 to_TO0 indicate_VVI ""_PUQ Freeze_NN1 ""_PUQ ._PUN ""_PUQ Everybody_PNI move_VVB around_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=53,91476904,91476907,agree_on_AT0,4
107,agree_with,7,8,CPV,"sales ; if at least three of the four commissioners agree with the complaint , the case will go to administrative court and","sales_NN0 ;_PUN if_CJS at_PRP least_AV0 three_CRD of_PRF the_AT0 four_CRD commissioners_NN2 agree_VVB with_PRP the_AT0 complaint_NN1 ,_PUN the_AT0 case_NN1 will_VM0 go_VVI to_PRP administrative_AJ0 court_NN1 and_CJC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=7,40262051,40262053,agree_with_AT0,4
138,agree_with,38,39,HAU,"to match overall service provision to evolving needs ; to agree with the other Divisions the core service specification , procurement and management","to_TO0 match_VVI overall_AJ0 service_NN1 provision_NN1 to_PRP evolving_VVG-AJ0 needs_NN2 ;_PUN to_TO0 agree_VVI with_PRP the_AT0 other_AJ0 Divisions_NN2 the_AT0 core_NN1 service_NN1 specification_NN1 ,_PUN procurement_NN1 and_CJC management_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=38,74753925,74753927,agree_with_AT0,4
144,agree_with,44,45,CRM,are 3 and 14kpc . A distance of 3kpc would agree with the -D estimates and place the remnant satisfactorily in the Norma,are_VBB 3_CRD and_CJC 14kpc_UNC ._PUN A_AT0 distance_NN1 of_PRF 3kpc_UNC would_VM0 agree_VVI with_PRP the_AT0 -D_NP0 estimates_NN2-VVZ and_CJC place_VVB the_AT0 remnant_NN1 satisfactorily_AV0 in_PRP the_AT0 Norma_NP0-NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=44,41328644,41328646,agree_with_AT0,4
170,agree_with,70,71,CJ1,". While ethologists , like Zillmann , do not necessarily agree with the views of the innate aggressionists , their voices are not","._PUN While_CJS ethologists_NN2 ,_PUN like_PRP Zillmann_NP0 ,_PUN do_VDB not_XX0 necessarily_AV0 agree_VVI with_PRP the_AT0 views_NN2 of_PRF the_AT0 innate_AJ0 aggressionists_NN2 ,_PUN their_DPS voices_NN2 are_VBB not_XX0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=70,35463545,35463547,agree_with_AT0,4
178,agree_with,78,79,FL4,"of the Aha . as well that I personally a agree with the lady over there as I 'm now , with all","of_PRF the_AT0 Aha_ITJ ._PUN as_CJS well_AV0 that_CJT I_PNP personally_AV0 a_UNC agree_VVB with_PRP the_AT0 lady_NN1 over_PRP there_AV0 as_CJS I_PNP 'm_VBB now_AV0 ,_PUN with_PRP all_DT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=78,55237458,55237460,agree_with_AT0,4
243,agree_that,43,44,B01,"margins of society . Although the authors in this book agree that the situation is iniquitous , they differ in their views of","margins_NN2 of_PRF society_NN1 ._PUN Although_CJS the_AT0 authors_NN2 in_PRP this_DT0 book_NN1 agree_VVB that_CJT the_AT0 situation_NN1 is_VBZ iniquitous_AJ0 ,_PUN they_PNP differ_VVB in_PRP-AVP their_DPS views_NN2 of_PRF",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=43,15836823,15836825,agree_that_AT0,4
269,agree_that,69,70,ABC,"of a pipless , unripe melon . Many bio-acoustic experts agree that the echolocation clicks are created by implosive movements of air in","of_PRF a_AT0 pipless_AJ0 ,_PUN unripe_AJ0 melon_NN1 ._PUN Many_DT0 bio-acoustic_AJ0 experts_NN2 agree_VVB that_CJT the_AT0 echolocation_NN1 clicks_NN2 are_VBB created_VVN by_PRP implosive_AJ0 movements_NN2 of_PRF air_NN1 in_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=69,5716016,5716018,agree_that_AT0,4
273,agree_that,73,74,FT3,and only 16 cases of endometrial hyperplasia . We therefore agree that the use of diagnostic dilatation and curettage in young women should,and_CJC only_AV0 16_CRD cases_NN2 of_PRF endometrial_AJ0 hyperplasia_NN1 ._PUN We_PNP therefore_AV0 agree_VVB that_CJT the_AT0 use_NN1 of_PRF diagnostic_AJ0 dilatation_NN1 and_CJC curettage_VVB-NN1 in_PRP-AVP young_AJ0 women_NN2 should_VM0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=73,58934103,58934105,agree_that_AT0,4
282,agree_that,82,83,H9S,conditions . Even the most sanguine grain size enthusiast would agree that no universal solution exists as yet to enable the sedimentologist unequivocally,conditions_NN2 ._PUN Even_AV0 the_AT0 most_AV0 sanguine_AJ0 grain_NN1 size_NN1 enthusiast_NN1 would_VM0 agree_VVI that_CJT no_AT0 universal_AJ0 solution_NN1 exists_VVZ as_CJS yet_AV0 to_TO0 enable_VVI the_AT0 sedimentologist_NN1 unequivocally_AV0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=82,73570507,73570509,agree_that_AT0,4
291,agree_that,91,92,HWD,a yardland or less fare in these circumstances ? Historians agree that the size of this group was certainly much reduced in number,a_AT0 yardland_NN1 or_CJC less_DT0 fare_NN1-VVB in_PRP these_DT0 circumstances_NN2 ?_PUN Historians_NN2 agree_VVB that_CJT the_AT0 size_NN1 of_PRF this_DT0 group_NN1 was_VBD certainly_AV0 much_AV0 reduced_VVN in_PRP number_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=91,89012946,89012948,agree_that_AT0,4
331,agree_to,31,32,J3S,", a joint representation , then I think before you agree to send a joint representation then you need to have a meeting",",_PUN a_AT0 joint_AJ0 representation_NN1 ,_PUN then_AV0 I_PNP think_VVB before_CJS you_PNP agree_VVB to_TO0 send_VVI a_AT0 joint_AJ0 representation_NN1 then_AV0 you_PNP need_VVB to_TO0 have_VHI a_AT0 meeting_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=31,93741459,93741461,agree_to_VVI,4
357,agree_to,57,58,H7U,is a criminal offence for a dealer to offer or agree to give an inducement or reward to another for abstaining or having,is_VBZ a_AT0 criminal_AJ0 offence_NN1 for_PRP a_AT0 dealer_NN1 to_TO0 offer_VVI or_CJC agree_VVI to_TO0 give_VVI an_AT0 inducement_NN1 or_CJC reward_NN1-VVB to_PRP another_DT0 for_PRP abstaining_VVG or_CJC having_VHG,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=57,71142161,71142163,agree_to_VVI,4
367,agree_to,67,68,C85,"presume you know something relevant , else why did you agree to come ? &rsquo; &lsquo; The Indies side of things , perhaps","presume_VVB you_PNP know_VVB something_PNI relevant_AJ0 ,_PUN else_AV0 why_AVQ did_VDD you_PNP agree_VVI to_TO0 come_VVI ?_PUN &rsquo;_PUQ &lsquo;_PUQ The_AT0 Indies_NP0 side_NN1 of_PRF things_NN2 ,_PUN perhaps_AV0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=67,23311128,23311130,agree_to_VVI,4
378,agree_to,78,79,HPY,"enough , either , if by "" syntax "" we agree to mean mere syntactic cohesion ; by itself , this leaves us","enough_AV0 ,_PUN either_AV0 ,_PUN if_CJS by_PRP ""_PUQ syntax_NN1 ""_PUQ we_PNP agree_VVB to_TO0 mean_VVI mere_AJ0 syntactic_AJ0 cohesion_NN1 ;_PUN by_PRP itself_PNX ,_PUN this_DT0 leaves_VVZ us_PNP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=78,85117629,85117631,agree_to_VVI,4
384,agree_to,84,85,J7E,) those accepting shareholders who accept the share offer and agree to transfer their shares in the target to the offeror will receive,)_PUR those_DT0 accepting_AJ0 shareholders_NN2 who_PNQ accept_VVB the_AT0 share_NN1 offer_NN1-VVB and_CJC agree_VVB to_TO0 transfer_VVI their_DPS shares_NN2 in_PRP the_AT0 target_NN1 to_PRP the_AT0 offeror_NN1 will_VM0 receive_VVI,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=84,94996368,94996370,agree_to_VVI,4
411,come_back,11,12,CFJ,". I have to go now , but I 'll come back tomorrow . Goodbye , Anabelle ! Goodbye , friend ! &rsquo;","._PUN I_PNP have_VHB to_TO0 go_VVI now_AV0 ,_PUN but_CJC I_PNP 'll_VM0 come_VVI back_AVP tomorrow_AV0 ._PUN Goodbye_ITJ ,_PUN Anabelle_NP0 !_PUN Goodbye_ITJ ,_PUN friend_NN1 !_PUN &rsquo;_PUQ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=11,32537229,32537231,come_back_AV0,4
428,come_back,28,29,C9W,three . This is done to allow them time to come back gradually to a state of full alertness without any sense of,three_CRD ._PUN This_DT0 is_VBZ done_VDN to_TO0 allow_VVI them_PNP time_NN1 to_TO0 come_VVI back_AVP gradually_AV0 to_PRP a_AT0 state_NN1 of_PRF full_AJ0 alertness_NN1 without_PRP any_DT0 sense_NN1 of_PRF,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=28,25260724,25260726,come_back_AV0,4
457,come_back,57,58,KBF,"three or four weeks , I said you 'll never come back again I said I 'm not going to be messed about","three_CRD or_CJC four_CRD weeks_NN2 ,_PUN I_PNP said_VVD you_PNP 'll_VM0 never_AV0 come_VVI back_AVP again_AV0 I_PNP said_VVD I_PNP 'm_VBB not_XX0 going_VVG to_TO0 be_VBI messed_VVN about_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=57,106319231,106319233,come_back_AV0,4
468,come_back,68,69,KA8,warmly and implore her most genuinely &lsquo; Will ye no come back again ? &rsquo; HERTS-BEDS-CAMBS There was great excitement at the MacIntyre,warmly_AV0 and_CJC implore_VVB her_DPS most_AV0 genuinely_AV0 &lsquo;_PUQ Will_VM0 ye_PNP no_AV0 come_VVI back_AVP again_AV0 ?_PUN &rsquo;_PUQ HERTS-BEDS-CAMBS_NP0 There_EX0 was_VBD great_AJ0 excitement_NN1 at_PRP the_AT0 MacIntyre_NP0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=68,105370994,105370996,come_back_AV0,4
475,come_back,75,76,JJ7,"gon na come back tomorrow . I 'm gon na come back tomorrow . Excellent , Clare [unclear] bit of fun there [unclear]","gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN I_PNP 'm_VBB gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN Excellent_AJ0 ,_PUN Clare_NP0 [unclear]_UNC bit_NN1 of_PRF fun_NN1 there_AV0 [unclear]_UNC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=75,95643475,95643477,come_back_AV0,4
509,come_in,9,10,CMX,watts and the 66MHz 9 watts . The 603 should come in under 3.2 watts . Motorola has also put out four software,watts_NN2 and_CJC the_AT0 66MHz_UNC 9_CRD watts_NN2 ._PUN The_AT0 603_CRD should_VM0 come_VVI in_AVP under_AV0 3.2_CRD watts_NN2 ._PUN Motorola_NP0 has_VHZ also_AV0 put_VVN out_AVP four_CRD software_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=9,39510906,39510908,come_in_AV0,4
535,come_in,35,36,A0D,", &rsquo; said Milsom . &lsquo; Where did the patter come in then ? &rsquo; enquired Detective Constable Bewman . &lsquo; You would",",_PUN &rsquo;_PUQ said_VVD Milsom_NP0 ._PUN &lsquo;_PUQ Where_AVQ did_VDD the_AT0 patter_NN1 come_VVI in_AVP-PRP then_AV0 ?_PUN &rsquo;_PUQ enquired_VVD Detective_NP0 Constable_NP0 Bewman_NP0 ._PUN &lsquo;_PUQ You_PNP would_VM0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=35,361620,361622,come_in_AV0,4
549,come_in,49,50,HRA,"stutter , &rsquo; Rogers said . &lsquo; Go out and come in again . &rsquo; Six sulky girls sidled through the door .","stutter_VVI ,_PUN &rsquo;_PUQ Rogers_NP0 said_VVD ._PUN &lsquo;_PUQ Go_VVB out_AVP and_CJC come_VVB in_AVP-PRP again_AV0 ._PUN &rsquo;_PUQ Six_CRD sulky_AJ0 girls_NN2 sidled_VVD through_PRP the_AT0 door_NN1 ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=49,85518591,85518593,come_in_AV0,4
567,come_in,67,68,CKD,"bobbed in the doorway , &lsquo; ask Mrs Beynon to come in please . &rsquo; The housekeeper glided into the room and stood","bobbed_VVN-VVD in_PRP the_AT0 doorway_NN1 ,_PUN &lsquo;_PUQ ask_VVB Mrs_NP0 Beynon_NP0 to_TO0 come_VVI in_AVP-PRP please_AV0 ._PUN &rsquo;_PUQ The_AT0 housekeeper_NN1 glided_VVD into_PRP the_AT0 room_NN1 and_CJC stood_VVD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=67,36769990,36769992,come_in_AV0,4
589,come_in,89,90,HYX,"come , we 'll see that , if the cameras come in anywhere , we 'll see that all-party representation on it .","come_VVI ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT ,_PUN if_CJS the_AT0 cameras_NN2 come_VVB in_AVP-PRP anywhere_AV0 ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT all-party_AJ0 representation_NN1 on_PRP it_PNP ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=89,91729486,91729488,come_in_AV0,4
615,come_out,15,16,GW0,"waited for Lucy but then , when she had n't come out alone , he 'd stayed well back in the shadows .","waited_VVN for_PRP Lucy_NP0 but_CJC then_AV0 ,_PUN when_CJS-AVQ she_PNP had_VHD n't_XX0 come_VVN out_AVP alone_AV0 ,_PUN he_PNP 'd_VHD stayed_VVN well_AV0 back_AVP in_PRP the_AT0 shadows_NN2 ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=15,68213526,68213528,come_out_AV0,4
641,come_out,41,42,B7D,"false . There are , however , alignments which do come out statistically significant , of which two examples are the Craigearn and","false_AJ0 ._PUN There_EX0 are_VBB ,_PUN however_AV0 ,_PUN alignments_NN2 which_DTQ do_VDB come_VVI out_AVP statistically_AV0 significant_AJ0 ,_PUN of_PRF which_DTQ two_CRD examples_NN2 are_VBB the_AT0 Craigearn_NN1-NP0 and_CJC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=41,19852013,19852015,come_out_AV0,4
683,come_out,83,84,ASV,when Winton dived into a black hole and did n't come out again . Barton had clinched the world title &mdash; his subsequent,when_CJS Winton_NP0 dived_VVD into_PRP a_AT0 black_AJ0 hole_NN1 and_CJC did_VDD n't_XX0 come_VVI out_AVP again_AV0 ._PUN Barton_NP0 had_VHD clinched_VVN the_AT0 world_NN1 title_NN1 &mdash;_PUN his_DPS subsequent_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=83,15115081,15115083,come_out_AV0,4
684,come_out,84,85,AD1,with it . &rsquo; &lsquo; Yes . &rsquo; &lsquo; They come out very clean . &rsquo; &lsquo; So I thought . &rsquo; They,with_PRP it_PNP ._PUN &rsquo;_PUQ &lsquo;_PUQ Yes_ITJ ._PUN &rsquo;_PUQ &lsquo;_PUQ They_PNP come_VVB out_AVP very_AV0 clean_AJ0 ._PUN &rsquo;_PUQ &lsquo;_PUQ So_CJS I_PNP thought_VVD ._PUN &rsquo;_PUQ They_PNP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=84,7747556,7747558,come_out_AV0,4
695,come_out,95,96,H83,"hampering their growth in art . Similarly , Allison has come out strongly in favour of assessment , as the following demonstrates :","hampering_VVG their_DPS growth_NN1 in_PRP art_NN1 ._PUN Similarly_AV0 ,_PUN Allison_NP0 has_VHZ come_VVN out_AVP strongly_AV0 in_PRP favour_NN1 of_PRF assessment_NN1 ,_PUN as_CJS-PRP the_AT0 following_AJ0 demonstrates_VVZ :_PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=95,71454215,71454217,come_out_AV0,4
739,give_up,39,6,B38,in the oven Everything is apple pie Men on buses give up seats for you And do n't give you the eye .,in_PRP the_AT0 oven_NN1 Everything_PNI is_VBZ apple_NN1 pie_NN1 Men_NN2 on_PRP buses_NN2 give_VVB up_AVP seats_NN2 for_PRP you_PNP And_CJC do_VDB n't_XX0 give_VVI you_PNP the_AT0 eye_NN1 ._PUN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vr&batch=5,19009932,19009934,give_up_NN2,4
747,give_up,47,14,KE2,"Oh I see . Oh . You 'll have to give up hamsters wo n't you , most definitely . Oh you 've","Oh_ITJ I_PNP see_VVB ._PUN Oh_ITJ ._PUN You_PNP 'll_VM0 have_VHI to_TO0 give_VVI up_AVP-PRP hamsters_NN2 wo_VM0 n't_XX0 you_PNP ,_PUN most_AV0 definitely_AV0 ._PUN Oh_ITJ you_PNP 've_VHB",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vr&batch=13,109448802,109448804,give_up_NN2,4
765,give_up,65,46,B0P,sluggish canal-like one . It is not surprising that many give up fishing at an age when they should be at their peak,sluggish_AJ0 canal-like_AJ0 one_PNI ._PUN It_PNP is_VBZ not_XX0 surprising_AJ0 that_CJT many_DT0 give_VVB up_AVP fishing_NN1 at_PRP an_AT0 age_NN1 when_CJS they_PNP should_VM0 be_VBI at_PRP their_DPS peak_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=45,16526701,16526703,give_up_NN1,4
785,give_up,85,66,AT4,into hard training . &rsquo; &lsquo; Poor old Seb ! Give up sex and all ? &rsquo; &lsquo; That 's right . &rsquo;,into_PRP hard_AJ0 training_NN1 ._PUN &rsquo;_PUQ &lsquo;_PUQ Poor_AJ0 old_AJ0 Seb_NN1-NP0 !_PUN Give_VVB up_AVP sex_NN1 and_CJC all_DT0 ?_PUN &rsquo;_PUQ &lsquo;_PUQ That_DT0 's_VBZ right_AJ0 ._PUN &rsquo;_PUQ,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=65,15350684,15350686,Give_up_NN1,4
795,give_up,95,76,JY9,"&rsquo; Ashley shook her head . &lsquo; Why did you give up Formula One ? &rsquo; she enquired . She hesitated , aware","&rsquo;_PUQ Ashley_NP0 shook_VVD her_DPS head_NN1 ._PUN &lsquo;_PUQ Why_AVQ did_VDD you_PNP give_VVI up_AVP Formula_NN1 One_PNI-CRD ?_PUN &rsquo;_PUQ she_PNP enquired_VVD ._PUN She_PNP hesitated_VVD ,_PUN aware_AJ0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=75,97962024,97962026,give_up_NN1,4
827,give_in,27,7,G07,. He wo n't beat me . I wo n't give in . I wo n't be broken by him . I 've,._PUN He_PNP wo_VM0 n't_XX0 beat_VVI me_PNP ._PUN I_PNP wo_VM0 n't_XX0 give_VVI in_AVP ._PUN I_PNP wo_VM0 n't_XX0 be_VBI broken_VVN by_PRP him_PNP ._PUN I_PNP 've_VHB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=6,61056997,61056999,give_in_PUN,4
832,give_in,32,12,G07,. I will not give in . I will not give in . December I ca n't sleep . I 'm going mad,._PUN I_PNP will_VM0 not_XX0 give_VVI in_AVP ._PUN I_PNP will_VM0 not_XX0 give_VVI in_AVP ._PUN December_NP0 I_PNP ca_VM0 n't_XX0 sleep_VVI ._PUN I_PNP 'm_VBB going_VVG mad_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9f&batch=11,61057926,61057928,give_in_PUN,4
